day,month,year
1,1,2020
6,1,2020
10,4,2020
13,4,2020
1,5,2020
1,6,2020
24,6,2020
15,8,2020
11,9,2020
24,9,2020
12,10,2020
8,12,2020
25,12,2020
26,12,2020
1,1,2021
6,1,2021
2,4,2021
5,4,2021
1,5,2021
24,5,2021
24,6,2021
11,9,2021
24,9,2021
12,10,2021
1,11,2021
6,12,2021
8,12,2021
25,12,2021
1,1,2022
6,1,2022
15,4,2022
18,4,2022
6,6,2022
24,6,2022
15,8,2022
24,9,2022
26,9,2022
12,10,2022
1,11,2022
6,12,2022
8,12,2022
26,12,2022
6,1,2023
7,4,2023
10,4,2023
1,5,2023
5,6,2023
24,6,2023
15,8,2023
11,9,2023
25,9,2023
12,10,2023
1,11,2023
6,12,2023
8,12,2023
25,12,2023
26,12,2023
1,1,2024
6,1,2024
29,3,2024
1,4,2024
1,5,2024
20,5,2024
24,6,2024
15,8,2024
11,9,2024
24,9,2024
12,10,2024
1,11,2024
6,12,2024
25,12,2024
26,12,2024